Step,Action,Reasoning,Observation,Reward,Done
55,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
56,west,,"message:
You cannot pass through the bars.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
57,south,,"message:
You cannot pass through the bars.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
58,south,,"message:
You cannot pass through the bars.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
59,south,,"message:
You cannot pass through the bars.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
60,north,,"message:


language observation:
dark area far south, southwest, and west
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near north, northeast, east, southeast, and northwest
fountain near southeast, southsoutheast, southsouthwest, and southwest
boulder near southsoutheast, south, and southwest
bars very near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, south, southwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars adjacent north, northeast, southwest, west, and northwest
boulder adjacent southeast

cursor:
Yourself a barbarian
(x=39, y=12)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####@.###                                    
                                  #####.`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
61,south,,"message:


language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
62,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
63,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
64,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
65,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
66,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
67,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
68,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
69,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
70,east,,"message:
You try to move the boulder, but in vain.

language observation:
dark area far north, west, and northwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
bars near north, northnortheast, northeast, eastnortheast, east, eastsoutheast, southsoutheast, southsouthwest, westsouthwest, west, westnorthwest, northwest, and northnorthwest
dark area near northeast, east, southeast, south, and southwest
fountain near eastsoutheast, southsoutheast, and westsouthwest
boulder near westsouthwest
bars very near north, northnortheast, northeast, eastnortheast, east, westsouthwest, west, westnorthwest, northwest, and northnorthwest
boulder very near southeast and south
fountain very near southsouthwest
stairs up adjacent north
boulder adjacent east
bars adjacent south, west, and northwest

cursor:
Yourself a barbarian
(x=39, y=13)

map:
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  ##########                                    
                                  #####<.###                                    
                                  #####@`###                                    
                                  ##.#.#...#                                    
                                  #.`.{`.`{#                                    
                                  #{.....{.#                                    
                                  ##########                                    
                                                                                
                                                                                
                                                                                
                                                                                
Agent the Plunderer            St:18/01 Dx:18 Co:18 In:7 Wi:7 Ch:6 Chaotic S:0  
Dlvl:1 $:0 HP:16(16) Pw:2(2) AC:7 Xp:1/0                                        

",-0.001,False
